experiment_state_timestamp,save_interval_secs,last_save_timestamp,temperature_1_C,humidity_1,egg_turning_on,target_temperature,cooling_start_temperature,heating_proportional_Cf,heating_integral_Cf,heating_derivitive_Cf,target_humidity,range_humidity,control_change_minimum_secs,last_control_change_timestamp,last_fan_on_timestamp,last_turner_change_timestamp,front_switch,rear_switch,near_switch,far_switch,exhaust_on,humidifyer_on,heater_on,fan_on
1745329089.321237,20,1746184364.6121674,37.45,0.5962,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746184384.4519453,1746184312.9436967,1746183592.062356,0.00192,0.99326,0.00192,0.99326,0,0,1,False
1745329089.321237,20,1746184384.837217,37.47,0.5959000000000001,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746184404.7330387,1746184312.9436967,1746183592.062356,0.00229,0.99313,0.00229,0.99313,0,0,1,False
1745329089.321237,20,1746184405.1254182,37.49,0.5916,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746184424.8722036,1746184312.9436967,1746183592.062356,0.00211,0.99298,0.00211,0.99298,0,0,1,False
1745329089.321237,20,1746184425.2598357,37.54,0.5854,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746184445.2539084,1746184312.9436967,1746183592.062356,0.00226,0.99301,0.00226,0.99301,0,0,0,False
1745329089.321237,20,1746184445.3201125,37.59,0.5791,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746184465.2624443,1746184312.9436967,1746183592.062356,0.00217,0.99316,0.00217,0.99316,0,0,0,False
1745329089.321237,20,1746184465.3289912,37.61,0.5732,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746184485.3103597,1746184312.9436967,1746183592.062356,0.00214,0.99301,0.00214,0.99301,0,0,0,False
1745329089.321237,20,1746184485.3794222,37.65,0.5688000000000001,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746184505.3664875,1746184492.9743123,1746183592.062356,0.00156,0.99313,0.00156,0.99313,0,1,0,False
1745329089.321237,20,1746184505.4406476,37.62,0.5922999999999999,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746184525.3895454,1746184492.9743123,1746183592.062356,0.00235,0.99323,0.00235,0.99323,0,0,0,False
1745329089.321237,20,1746184525.456433,37.58,0.5942000000000001,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746184545.4274049,1746184492.9743123,1746183592.062356,0.00201,0.99326,0.00201,0.99326,0,0,0,False
1745329089.321237,20,1746184545.4971511,37.63,0.5902000000000001,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746184565.4834394,1746184492.9743123,1746183592.062356,0.00217,0.99323,0.00217,0.99323,0,0,0,False
