experiment_state_timestamp,save_interval_secs,last_save_timestamp,temperature_1_C,humidity_1,target_temperature,cooling_start_temperature,heating_proportional_Cf,heating_integral_Cf,heating_derivitive_Cf,target_humidity,range_humidity,control_change_minimum_secs,last_control_change_timestamp,last_fan_on_timestamp,last_turner_change_timestamp,front_switch,rear_switch,near_switch,far_switch,exhaust_on,humidifyer_on,heater_on,fan_on
1745532716.7702954,20,1746183882.3627307,37.46,0.3651,37.5,38,1.9,0.004,0.0,0.38,0.03,2,1746183901.566617,1746183903.0510366,1746183902.4937398,0.00168,1.0,0.00168,1.0,0,0,1,False
1745532716.7702954,20,1746183903.0723572,37.41,0.3617,37.5,38,1.9,0.004,0.0,0.38,0.03,2,1746183923.0207036,1746183903.0510366,1746183902.4937398,1.0,1.0,1.0,1.0,0,0,1,False
1745532716.7702954,20,1746183923.4496033,37.42,0.35990000000000005,37.5,38,1.9,0.004,0.0,0.38,0.03,2,1746183943.3709393,1746183903.0510366,1746183902.4937398,1.0,1.0,1.0,1.0,0,0,1,False
1745532716.7702954,20,1746183943.809147,37.37,0.3586,37.5,38,1.9,0.004,0.0,0.38,0.03,2,1746183963.4293058,1746183903.0510366,1746183902.4937398,1.0,1.0,1.0,1.0,0,0,1,False
1745532716.7702954,20,1746183963.8616223,37.37,0.3566,37.5,38,1.9,0.004,0.0,0.38,0.03,2,1746183983.4820924,1746183903.0510366,1746183902.4937398,1.0,1.0,1.0,1.0,0,0,1,False
1745532716.7702954,20,1746183983.910796,37.34,0.3553,37.5,38,1.9,0.004,0.0,0.38,0.03,2,1746184003.525248,1746183903.0510366,1746183902.4937398,1.0,0.00177,1.0,0.00177,0,0,1,False
1745532716.7702954,20,1746184003.9601998,37.32,0.35380000000000006,37.5,38,1.9,0.004,0.0,0.38,0.03,2,1746184023.903212,1746183903.0510366,1746183902.4937398,1.0,0.00183,1.0,0.00183,0,0,1,False
1745532716.7702954,20,1746184024.3381796,37.35,0.3523,37.5,38,1.9,0.004,0.0,0.38,0.03,2,1746184044.3033578,1746183903.0510366,1746183902.4937398,1.0,0.00174,1.0,0.00174,0,0,1,False
1745532716.7702954,20,1746184044.7289863,37.37,0.35090000000000005,37.5,38,1.9,0.004,0.0,0.38,0.03,2,1746184064.6134117,1746183903.0510366,1746183902.4937398,1.0,0.00171,1.0,0.00171,0,0,1,False
1745532716.7702954,20,1746184065.0347068,37.35,0.3492,37.5,38,1.9,0.004,0.0,0.38,0.03,2,1746184084.9640079,1746184083.7113974,1746183902.4937398,1.0,0.0018,1.0,0.0018,False,True,1,False
1745532716.7702954,20,1746184085.3949327,37.38,0.3644,37.5,38,1.9,0.004,0.0,0.38,0.03,2,1746184105.1735272,1746184083.7113974,1746183902.4937398,1.0,0.00168,1.0,0.00168,0,0,1,False
1745532716.7702954,20,1746184105.606819,37.38,0.3713,37.5,38,1.9,0.004,0.0,0.38,0.03,2,1746184125.3044012,1746184083.7113974,1746183902.4937398,1.0,0.00177,1.0,0.00177,0,0,1,False
1745532716.7702954,20,1746184125.72921,37.39,0.3719,37.5,38,1.9,0.004,0.0,0.38,0.03,2,1746184145.3781643,1746184083.7113974,1746183902.4937398,1.0,0.00183,1.0,0.00183,0,0,1,False
1745532716.7702954,20,1746184145.8208249,37.39,0.37090000000000006,37.5,38,1.9,0.004,0.0,0.38,0.03,2,1746184165.618288,1746184083.7113974,1746183902.4937398,1.0,0.00177,1.0,0.00177,0,0,1,False
1745532716.7702954,20,1746184166.0712066,37.43,0.3685,37.5,38,1.9,0.004,0.0,0.38,0.03,2,1746184185.9665425,1746184083.7113974,1746183902.4937398,1.0,0.00174,1.0,0.00174,0,0,1,False
1745532716.7702954,20,1746184186.3844993,37.43,0.3664,37.5,38,1.9,0.004,0.0,0.38,0.03,2,1746184205.987328,1746184083.7113974,1746183902.4937398,1.0,0.00171,1.0,0.00171,0,0,1,False
1745532716.7702954,20,1746184206.4104807,37.45,0.36369999999999997,37.5,38,1.9,0.004,0.0,0.38,0.03,2,1746184226.383946,1746184083.7113974,1746183902.4937398,1.0,0.00171,1.0,0.00171,0,0,1,False
